season_id,episode_id,scene_id,utterance_id,speaker,transcript,emotion,character_entities,num_talked_about
s01,e01,c01,u001,Monica Geller,There's nothing to tell! He's just some guy I work with!,No emotion available,"['Paul the Wine Guy', 'Paul the Wine Guy', 'Monica Geller']",3
s01,e01,c01,u002,Joey Tribbiani,"C'mon, you're going out with the guy! There's gotta be something wrong with him!",No emotion available,['Paul the Wine Guy'],1
s01,e01,c01,u003,Chandler Bing,"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?",No emotion available,['Paul the Wine Guy'],1
s01,e01,c01,u004,Phoebe Buffay,"Wait, does he eat chalk?",No emotion available,['Paul the Wine Guy'],1
s01,e01,c01,u006,Phoebe Buffay,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!",No emotion available,"['Phoebe Buffay', 'Monica Geller', 'Phoebe Buffay', ""Carl (Rachel's date)""]",4
s01,e01,c01,u008,Chandler Bing,Sounds like a date to me.,No emotion available,['Chandler Bing'],1
s01,e01,c01,u010,Chandler Bing,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",No emotion available,"['Chandler Bing', 'Chandler Bing', 'Chandler Bing', 'Chandler Bing']",4
s01,e01,c01,u017,Chandler Bing,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",No emotion available,"['Chandler Bing', 'Chandler Bing']",2
s01,e01,c01,u018,Monica Geller,And they weren't looking at you before?!,No emotion available,"['#GENERAL#', 'Chandler Bing']",2
s01,e01,c01,u019,Chandler Bing,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",No emotion available,"['Chandler Bing', 'Chandler Bing', 'Chandler Bing', 'Nora Tyler Bing', 'Nora Tyler Bing', 'Chandler Bing']",6
s01,e01,c01,u022,Joey Tribbiani,"This guy says hello, I wanna kill myself.",No emotion available,"['Ross Geller', 'Joey Tribbiani', 'Joey Tribbiani']",3
s01,e01,c01,u023,Monica Geller,"Are you okay, sweetie?",No emotion available,"['Ross Geller', 'Ross Geller']",2
s01,e01,c01,u024,Ross Geller,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",No emotion available,"['Ross Geller', 'Ross Geller', 'Ross Geller', 'Ross Geller', 'Ross Geller']",5
s01,e01,c01,u026,Monica Geller,Carol moved her stuff out today.,No emotion available,"['Carol Willick', 'Carol Willick']",2
s01,e01,c01,u028,Monica Geller,Let me get you some coffee.,No emotion available,"['Monica Geller', 'Ross Geller']",2
s01,e01,c01,u031,Ross Geller,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",No emotion available,['Ross Geller'],1
s01,e01,c01,u034,Monica Geller,No you don't.,No emotion available,['Ross Geller'],1
s01,e01,c01,u035,Ross Geller,"No I don't, to hell with her, she left me!",No emotion available,"['Ross Geller', 'Carol Willick', 'Carol Willick', 'Ross Geller']",4
s01,e01,c01,u036,Joey Tribbiani,And you never knew she was a lesbian...,No emotion available,"['Ross Geller', 'Carol Willick']",2
s01,e01,c01,u038,Chandler Bing,Sometimes I wish I was a lesbian... Did I say that out loud?,No emotion available,['Chandler Bing'],1
s01,e01,c01,u039,Ross Geller,"I told mom and dad last night, they seemed to take it pretty well.",No emotion available,"['Ross Geller', 'Judy Geller', 'Jack Geller', 'Jack Geller', 'Judy Geller']",5
s01,e01,c01,u042,Joey Tribbiani,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",No emotion available,['Ross Geller'],1
s01,e01,c01,u044,Joey Tribbiani,"Strip joint! C'mon, you're single! Have some hormones!",No emotion available,['Ross Geller'],1
s01,e01,c01,u045,Ross Geller,"I don't want to be single, okay? I just... I just- I just wanna be married again!",No emotion available,['Ross Geller'],1
s01,e01,c01,u047,Chandler Bing,And I just want a million dollars!,No emotion available,['Chandler Bing'],1
s01,e01,c01,u050,Waitress,Can I get you some coffee?,No emotion available,"['Waitress', 'Rachel Green', 'Monica Geller']",3
s01,e01,c01,u055,Monica Geller,"So you wanna tell us now, or are we waiting for four wet bridesmaids?",No emotion available,"['Rachel Green', 'Ross Geller', 'Joey Tribbiani', 'Phoebe Buffay', 'Monica Geller', 'Chandler Bing', 'Ross Geller', 'Joey Tribbiani', 'Phoebe Buffay', 'Rachel Green', 'Monica Geller', 'Chandler Bing']",12
s01,e01,c01,u058,Rachel Green,"Ooh, I was kinda hoping that wouldn't be an issue...",No emotion available,['Rachel Green'],1
s01,e01,c02,u001,Monica Geller,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",No emotion available,"['Monica Geller', 'Man 1', 'Rachel Green', 'Rachel Green']",4
s01,e01,c02,u003,Ross Geller,I'll have whatever Christine is having.,No emotion available,"['Ross Geller', 'Christine']",2
s01,e01,c02,u004,Rachel Green,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",No emotion available,"['Rachel Green', 'Barry Farber']",2
s01,e01,c02,u006,Phoebe Buffay,"If I let go of my hair, my head will fall off.",No emotion available,"['Phoebe Buffay', 'Phoebe Buffay', 'Phoebe Buffay']",3
